variant,family,precision,step,samples,corpus_cer,char_precision,char_recall,char_f1,hits,substitutions,deletions,insertions,relative_cer_reduction_vs_baseline_pct,improved_samples,tied_samples,regressed_samples,tensor_storage_gib,peak_allocated_vram_gib,mean_latency_seconds,p95_latency_seconds
Baseline BF16,Baseline,BF16,,300,0.17805051583066525,0.893115252947889,0.8352899324083956,0.8632352941176471,9392,971,881,153,0.0,,,,1.4623892307281494,1.5897603034973145,0.7550933494399882,1.4046129950002069
Engram BF16 step 300,Engram,BF16,300,300,0.1047669868374244,0.9214439269079183,0.9148879402347919,0.9181542306319173,10287,655,302,222,41.15884115884116,121,123,56,,,,
Engram BF16 step 500,Engram,BF16,500,300,0.10120953397367485,0.9251077586206896,0.916221985058698,0.9206434316353886,10302,638,304,196,43.15684315684315,127,110,63,,,,
Engram BF16 step 750,Engram,BF16,750,300,0.09044823906083245,0.9333452946981251,0.9252934898612594,0.9293019516770131,10404,565,275,178,49.2007992007992,134,112,54,1.493121862411499,1.6227378845214844,0.8335671674333692,1.5456240170005913
Engram BF16 step 1000,Engram,BF16,1000,300,0.11339381003201708,0.9147642133098282,0.9229811454998221,0.9188543096197264,10378,556,310,411,36.31368631368631,133,110,57,,,,
Baseline NF4,Baseline,NF4,,300,0.2870864461045891,0.7949465500485908,0.8002490217004624,0.7975889730975491,8998,1323,923,998,,,,,0.556967556476593,1.0238304138183594,1.3332224521666527,2.364093896000668
Engram NF4 step 750,Engram,NF4,750,300,0.20917822838847386,0.8341678689637614,0.8741551049448595,0.8536934902505754,9829,1008,407,946,,,,,0.5617985129356384,1.033571720123291,1.5561143834333233,2.8138415249995887
Baseline LLM.int8,Baseline,LLM.int8,,300,0.18890074706510138,0.8841463414634146,0.8253290643898968,0.8537258509659613,9280,1055,909,161,,,,,1.0300195217132568,2.4509224891662598,4.353825530850166,9.003487494999717
Engram LLM.int8 step 750,Engram,LLM.int8,750,300,0.1084133760227677,0.9172279333569656,0.9204909284951974,0.9188565340909091,10350,608,286,326,,,,,1.0549004077911377,2.4790282249450684,4.054915401430092,7.239969005997409
